2024-04-15 11:14:08.237592+00	1380254
2024-04-15 11:14:05.694925+00	1380253
2024-04-15 11:14:03.203778+00	1380252
2024-04-15 11:14:00.653187+00	1380251
2024-04-15 11:13:56.081482+00	1380250
2024-04-15 11:13:53.600846+00	1380249
2024-04-15 11:13:51.070799+00	1380248
2024-04-15 11:13:48.477311+00	1380247
2024-04-15 11:13:44.113316+00	1380246
2024-04-15 11:13:41.856294+00	1380245
2024-04-15 11:13:39.116822+00	1380244
2024-04-15 11:13:36.288372+00	1380243
2024-04-15 11:13:33.32935+00	1380242
2024-04-15 11:13:30.506485+00	1380241
2024-04-15 11:13:26.029395+00	1380240
2024-04-15 11:13:23.621028+00	1380239
2024-04-15 11:13:21.142004+00	1380238
2024-04-15 11:13:16.60589+00	1380237
2024-04-15 11:13:14.338376+00	1380236
2024-04-15 11:13:12.09844+00	1380235
2024-04-15 11:13:09.465976+00	1380234
2024-04-15 11:13:05.080273+00	1380233
2024-04-15 11:13:02.782067+00	1380232
2024-04-15 11:12:58.532939+00	1380231
2024-04-15 11:12:56.221354+00	1380230
2024-04-15 11:12:53.887288+00	1380229
2024-04-15 11:12:51.578395+00	1380228
2024-04-15 11:12:46.833677+00	1380227
2024-04-15 11:12:46.386719+00	1380226
2024-04-15 11:12:43.369903+00	1380225
2024-04-15 11:12:40.431701+00	1380224
2024-04-15 11:12:36.847534+00	1380223
2024-04-15 11:12:31.863322+00	1380222
2024-04-15 11:12:29.25958+00	1380221
2024-04-15 11:12:26.669009+00	1380220
2024-04-15 11:12:24.151901+00	1380219
2024-04-15 11:12:21.743968+00	1380218
2024-04-15 11:12:17.097631+00	1380217
2024-04-15 11:12:14.631357+00	1380216
2024-04-15 11:12:12.182899+00	1380215
2024-04-15 11:12:07.619426+00	1380214
2024-04-15 11:12:05.265137+00	1380213
2024-04-15 11:12:02.843078+00	1380212
2024-04-15 11:12:00.473374+00	1380211
2024-04-15 11:11:56.012319+00	1380210
2024-04-15 11:11:53.735126+00	1380209
2024-04-15 11:11:49.450454+00	1380208
